example_id,tweet_id,thread_id,text,historical_reply,intent,secondary_intent,decision,escalation_reason,required_reply_points,forbidden_claims,annotator_confidence,annotator,reviewed
label-0000,104107,104105,"<HANDLE> Nope, no difference. Pixel XL 2",<HANDLE> Thanks for the update. Can you try reinstalling the app? You can follow the steps here: <URL> Let us know how it plays out /HR,,,,,,,,,no
label-0001,8231,8225,<HANDLE> I paid for premium and i'm not able to have it,"<HANDLE> Hi there, we've replied to your DM! We'll continue helping out over there 🙂 /DQ",,,,,,,,,no
label-0002,314097,314105,"<HANDLE> I don’t really know, and when the problem happened I had one of my playlists not saved for offline. How can you check?",<HANDLE> We'd like to share more info with you. Can you send us your account's email address or username via DM? /RK <URL>,,,,,,,,,no
label-0003,2950135,2950135,I love noticing random songs disappearing from playlists. <HANDLE> what's up with that? :(,<HANDLE> Hi! Can you send us a DM with your username or email address? We'll take a look under the hood /HR <URL>,,,,,,,,,no
label-0004,2363324,2363324,Damnit <HANDLE> make it so we can go back and save a weekly playlist. Sometimes forget to save songs than by Monday they are gone.,<HANDLE> Hey there! We'll gladly let the right folks know it's something you'd like to see. Let us know if anything else comes up /BH,,,,,,,,,no
label-0005,5008,5017,<HANDLE> Spotify 8.4.25.906 and iOS 11,"<HANDLE> Got it. Is this happening on 3G/4G, WiFi, or both? Do you get the same issue when you use Spotify on other devices? /KB",,,,,,,,,no
label-0006,1736608,1736608,"<HANDLE> hey I was in offline mode on my android a I restarted the phone. Now I can't login, it says I'm in offline mode. What the heck?","<HANDLE> Hey, that's not cool! Can you let us know the make and model of your device and the exact versions of your Spotify and Android apps? We'll see what we can suggest /RA",,,,,,,,,no
label-0007,89564,89564,<HANDLE> Why have I been charged twice for my subscription this month?,<HANDLE> Hi Marc. That doesn't sound good. Can you DM us your account's email address or username? We'll take a look under the hood /XF <URL>,,,,,,,,,no
label-0008,2866636,2866636,<HANDLE> where is reputation?,"<HANDLE> Hey Zach! Taylor Swift's 'Reputation' isn't available to stream just yet! For now, check out the singles: <URL> /KC",,,,,,,,,no
label-0009,1974254,1974253,<HANDLE> I have used it for various other online transactions,"<HANDLE> Hmm, that's odd. Can you DM us your account's email address and username? We'll take a look backstage /MQ <URL>",,,,,,,,,no
label-0010,1221947,1221952,<HANDLE> press play - nothing happes. no error msg. mobile works well. desktop app always problems.,<HANDLE> Alright. Does logging out &gt; restarting your desktop &gt; logging back in to your account make a difference? /DV,,,,,,,,,no
label-0011,1409882,1409885,"<HANDLE> I found it! That sucks, I’ll be sure to remember!","<HANDLE> Woohoo, glad that you found it! If you have any other questions, just let us know 🙂 /CG",,,,,,,,,no
